ano,densidade,id_municipio,sigla_uf,taxa_aprovacao
2007,3.4657657545908376,2701506,AL,43.525
2007,0.10994280974210124,2932309,BA,48.209523809523816
2007,0.055879910103577332,1507755,PA,50.255555555555553
2007,0.051547042714062755,2911006,BA,51.368181818181824
2009,0.0548724053071725,2201919,PI,52.375
2007,0.052785879378841,2902104,BA,52.43181818181818
2007,0.985172994595885,2930501,BA,52.914814814814804
2007,0.048976678121357246,2916609,BA,53.195454545454538
2007,0.0831998023528645,2933059,BA,53.28
2007,0.0060378070564526334,1501105,PA,53.499999999999993
2009,0.024044837955778248,2924207,BA,53.766666666666666
2009,0.0321884740175255,2921401,BA,54.088888888888889
2007,0.062131190428929,2914208,BA,54.465
2007,0.028480706818058872,1302108,AM,54.591304347826089
2015,0.48143779978791668,2201919,PI,54.7
2009,0.27221280062245073,2916609,BA,55.268750000000004
2007,0.016095597815441724,1505809,PA,55.337500000000006
2007,0.1505649097020525,2405900,RN,55.516
2007,0.12829239481632049,2903102,BA,55.605000000000004
2009,0.09097792260429724,2933059,BA,55.722222222222221
2007,0.085497218143034737,2929800,BA,55.73
2009,0.14420892055586748,2405504,RN,56.366666666666667
2007,0.075889529092610236,2922607,BA,56.387499999999996
2007,0.064169807415665248,2912905,BA,56.418181818181822
2007,0.038636805818304,2921401,BA,56.5
2009,0.0875379500396565,2912905,BA,56.677272727272722
2007,0.602208891171095,2908002,BA,56.794999999999995
2007,0.014539430411103001,2106359,MA,57.0
2007,0.0288316553814645,2512077,PB,57.023809523809526
2009,0.38738875728752,2802304,SE,57.034615384615378
2007,0.040553568328678749,2902302,BA,57.305000000000007
2009,0.109890651805669,2922607,BA,57.3125
2007,0.041000396061332336,2208551,PI,57.440000000000005
2007,0.058966264104759,2915908,BA,57.444999999999993
2007,0.039289076666269747,2923050,BA,57.580000000000005
2007,0.013308233294074667,1502756,PA,57.62083333333333
2009,0.072296663365237,2901957,BA,57.677272727272737
2013,0.57074007652343417,2928059,BA,57.731818181818184
2009,0.0143544566070125,2106359,MA,57.949999999999989
2007,0.020584537003426,2927606,BA,58.0
2007,0.031468429397977504,2703700,AL,58.333333333333336
2011,0.18681470478486684,2203230,PI,58.48888888888888
2007,0.11070828964715751,2508703,PB,58.500000000000007
2007,0.071472330090431,2707404,AL,58.514814814814819
2009,0.016812281285873,2924678,BA,58.599999999999994
2007,0.051924288887580494,2902906,BA,58.733333333333341
2007,0.066611617242178,2902658,BA,58.812500000000007
2007,0.017681580119626478,1505700,PA,58.866666666666667
2007,0.03709939881316475,2101772,MA,58.887499999999996
2007,0.031607765515354,2909208,BA,58.89
2007,0.19139616486445926,2931905,BA,59.053846153846152
2009,0.19384328389057498,2915700,BA,59.088888888888889
2007,0.031992694705835496,2918209,BA,59.204999999999991
2011,1.1007818069986792,2802304,SE,59.214814814814808
2007,0.164194547019005,2905602,BA,59.216666666666661
2011,0.36937238078952495,2903607,BA,59.288888888888891
2007,0.05706965001944,2919108,BA,59.387499999999996
2011,0.23602202892608334,2201919,PI,59.55
2007,0.0075292715425877756,1500701,PA,59.59
2007,0.1993463695023425,2708600,AL,59.62
2007,0.013204999835169423,1500958,PA,59.620833333333337
2007,0.1091629842896015,2505501,PB,59.625
2011,0.16040737227940419,2202117,PI,59.711111111111116
2009,0.037851019655843005,2208502,PI,59.826923076923073
2007,0.017866714311238,2205151,PI,59.9125
2007,0.0087207440661628242,1505486,PA,60.055555555555557
2007,0.10479645282894751,2929305,BA,60.207692307692312
2007,0.055216708801539748,2602605,PE,60.219999999999992
2007,0.0197581321997245,2202653,PI,60.288888888888891
2007,0.072751465370905252,2933109,BA,60.391666666666673
2007,0.026634027156008,2613206,PE,60.42
2011,0.13930278573371999,4310652,RS,60.6875
2007,0.0954329211791535,2511202,PB,60.8037037037037
2009,0.06522044008093,2205607,PI,60.836000000000013
2007,0.038425298940033,2604700,PE,60.9
2007,0.14043492202292751,2915304,BA,60.9875
2007,0.032545398007590744,2924678,BA,61.02
2009,0.052444278922368248,2924405,BA,61.175
2007,0.017651170503285473,2911857,BA,61.175000000000011
2007,0.045582903536839,2608008,PE,61.275000000000006
2007,0.121823104652505,2917102,BA,61.364999999999988
2007,0.024247285973054998,2912608,BA,61.36875
2007,0.066518201906182989,2903607,BA,61.395454545454548
2009,0.059524057862441748,2933505,BA,61.411111111111111
2009,0.076804158325421,2906824,BA,61.541666666666664
2007,0.030612287433486752,2208502,PI,61.619230769230782
2007,0.059538513843143258,2916906,BA,61.690000000000005
2007,0.84905771257580009,2933208,BA,61.715384615384615
2007,0.15638338547421998,2916302,BA,61.766666666666673
2007,0.014794984808699625,1503093,PA,61.812499999999993
2009,0.13575337478374,2201002,PI,61.827272727272728
2007,0.12822745049386275,2805604,SE,61.874074074074073
2007,0.0783164286293895,2205359,PI,61.899999999999991
2007,0.039416833039961005,2922706,BA,61.955555555555556
2007,0.055138194450450748,2913705,BA,61.978260869565226
2007,0.054644761851160246,2615409,PE,62.00869565217392
2009,0.061548583921813255,2902104,BA,62.009523809523813
2007,0.11083601964452275,2705002,AL,62.018518518518519
2007,0.0089323068776990013,2201101,PI,62.019999999999996
2009,0.0634804277632425,1507755,PA,62.088888888888889
2007,0.099571736359988255,2900603,BA,62.175000000000004
2007,0.069198191904038,2932101,BA,62.178947368421042
2007,0.026603399104086749,1507151,PA,62.1875
2009,0.163542093067955,2516755,PB,62.277777777777764
2009,0.086163655382079513,2507200,PB,62.288888888888884
2009,0.139038665080151,2932309,BA,62.309090909090912
